LavatoryID,STR,PostalCode,Country,LON,LAT,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal
Wall_120193,Wühlischplatz. Wühlischstr. ggü. 11 (0-24 Uhr),10245,Deutschland,13.4639155114,52.5079000373,1,1,"0,5",1,1,0,0,1,0
Wall_120205,Grellstr. 39 (0-24 Uhr),10409,Deutschland,13.4382226755741,52.5414832231387,1,1,"0,5",1,1,0,0,1,0
Wall_120206,Bülowstr. ggü. 49 (0-24 Uhr),10829,Deutschland,13.3669141154753,52.4938516883151,1,1,"0,5",1,1,0,0,1,0
Wall_120207,Reinickendorfer Str. 9 (0-24 Uhr),13347,Deutschland,13.3699104981192,52.5416111409171,1,1,"0,5",1,1,0,0,1,0
Wall_120208,Osloer Str. 18 (0-24 Uhr),13359,Deutschland,13.3839865758039,52.5560486511468,1,1,"0,5",1,1,0,0,1,0
Wall_120209,Köllnischer Park. Rungestr. 31 (0-24 Uhr),10179,Deutschland,13.413572565667,52.5127077113696,1,1,"0,5",1,1,0,0,1,0
Wall_120210,Dürerplatz 5 (0-24 Uhr),12157,Deutschland,13.3415016338287,52.4695434114471,1,1,"0,5",1,1,0,0,1,0
Wall_120211,Priesterweg S-Bahnhof (0-24 Uhr),12157,Deutschland,13.355711,52.459251,1,1,"0,5",1,1,0,0,1,0
Wall_120212,Marienfelder Allee 144-146 (0-24 Uhr),12277,Deutschland,13.3631543938859,52.4134984395888,1,1,"0,5",1,1,0,0,1,0
Wall_120213,Friedrichstr. ggü. 10-11 (0-24 Uhr),10969,Deutschland,13.391234,52.501269,1,1,"0,5",1,1,0,0,1,0
Wall_120214,Im Domstift   (0-24 Uhr),12309,Deutschland,13.4101617301817,52.3877787779863,1,1,"0,5",1,1,0,0,1,0
Wall_120215,Nöldnerplatz. Archibaldweg   (0-24 Uhr),10317,Deutschland,13.48398,52.50302,1,1,"0,5",1,1,0,0,1,0
Wall_120216,Marzahner Promenade (Fußgängerzone) 30-33 (0-24 Uhr),12679,Deutschland,13.549245,52.544367,1,1,"0,5",1,1,0,0,1,0
Wall_120222,Waldstr. 1 (0-24 Uhr),10551,Deutschland,13.3306064855452,52.5274148885999,1,1,"0,5",1,1,0,0,1,0
Wall_120223,Hugenottenplatz. Schweizer Tal ggü. 48 (0-24 Uhr),13127,Deutschland,13.4205648128286,52.6071445264468,1,1,"0,5",1,1,0,0,1,0
Wall_120224,Hohenzollerndamm   (0-24 Uhr),14199,Deutschland,13.281976346854,52.4769410549611,1,1,"0,5",1,1,0,0,1,0
Wall_120225,Wilhelminenhofstr. 54 (0-24 Uhr),12459,Deutschland,13.5266717549591,52.4585928594435,1,1,"0,5",1,1,0,0,1,0
Wall_120226,Bundesallee. Friedrich-Wilhelm-Platz 4 (0-24 Uhr),12161,Deutschland,13.3279317674284,52.4725628119395,1,1,"0,5",1,1,0,0,1,0
Wall_120227,Achillesstr. ggü. 59 (0-24 Uhr),13125,Deutschland,13.48851,52.617635,1,1,"0,5",1,1,0,0,1,0
Wall_120228,S-Bhf. Wilhelmshagen. Schönblicker Str.   (0-24 Uhr),12589,Deutschland,13.7210046415745,52.4390817378726,1,1,"0,5",1,1,0,0,1,0
Wall_120229,Badensche Str. 29 (0-24 Uhr),10715,Deutschland,13.3274845332077,52.4864769487566,1,1,"0,5",1,1,0,0,1,0
Wall_120230,Eberbacher Str. 24 (0-24 Uhr),14197,Deutschland,13.3092685301689,52.473324575463,1,1,"0,5",1,1,0,0,1,0
Wall_120403,Weitlingstr. 2 (0-24 Uhr),10317,Deutschland,13.4993596999717,52.5106318769395,1,1,"0,5",1,1,0,0,1,0
Wall_120407,Seddiner Str. 22 (0-24 Uhr),10315,Deutschland,13.5208341459128,52.5135019050001,1,1,"0,5",1,1,0,0,1,0
Wall_120443,Boxhagener Platz. Gärtnerstr. ggü. 12-13 (0-24 Uhr),10245,Deutschland,13.4606556296341,52.5106971566647,1,1,0,0,0,0,0,5,0
Wall_120446,Breitenbachplatz 8 (0-24 Uhr),14195,Deutschland,13.3086648230217,52.4672367895227,1,1,"0,5",1,1,0,0,1,0
Wall_120447,Griechische Allee 2 (0-24 Uhr),12459,Deutschland,13.5138909063174,52.4646370786482,1,1,"0,5",1,1,0,0,1,0
Wall_120448,Hempelsteig hinter 1A (0-24 Uhr),14052,Deutschland,13.240857,52.525505,1,1,"0,5",1,1,0,0,1,0
Wall_120449,Goerzallee 1-3 (0-24 Uhr),12207,Deutschland,13.3093156903864,52.4309018915121,1,1,"0,5",1,1,0,0,1,0
Wall_120450,Munsterdamm   (0-24 Uhr),12157,Deutschland,13.3491057199504,52.4585530612939,1,1,"0,5",1,1,0,0,1,0
Wall_120451,Ostpreußendamm 83 (0-24 Uhr),12207,Deutschland,13.3048687553929,52.4175685677034,1,1,"0,5",1,1,0,0,1,0
Wall_120461,Zingster Str. 37 (0-24 Uhr),13059,Deutschland,13.4969495503473,52.5698739180807,1,1,"0,5",1,1,0,0,1,0
Wall_120462,Am Heidefriedhof. Reißeckstr. 14 (0-24 Uhr),12107,Deutschland,13.3920992767046,52.4397523119659,1,1,"0,5",1,1,0,0,1,0
Wall_120493,Steglitzer Damm vor 39/39a (0-24 Uhr),12169,Deutschland,13.3428182601929,52.45068359375,1,1,"0,5",1,1,0,0,1,0
Wall_120494,Schloßstr. ggü. 33-35 (0-24 Uhr),12163,Deutschland,13.3214325154,52.457269514,1,1,"0,5",1,1,0,0,1,0
Wall_120495,S-Bhf. Wartenberg . Egon-Erwin-Kisch-Str. 28 (0-24 Uhr),13059,Deutschland,13.5046711288011,52.5733301033486,1,1,"0,5",1,1,0,0,1,0
Wall_120496,Landsberger Allee   (0-24 Uhr),10369,Deutschland,13.4706950203,52.5310082107,1,1,"0,5",1,1,0,0,1,1
Wall_120497,S-Bhf. Karlshorst. Stolzenfelsstr.   (0-24 Uhr),10318,Deutschland,13.5260174309,52.4813251482,1,1,"0,5",1,1,0,0,1,0
Wall_12051,Zufahrt Insel Reiswerder  (0-24 Uhr),13629,Deutschland,13.2565555555556,52.5681388888889,1,0,0,0,0,0,0,5,0
Wall_120510,Boulevard Kastanienallee   (0-24 Uhr),12619,Deutschland,13.6033523134046,52.5319120500029,1,1,"0,5",1,1,0,0,1,0
Wall_120511,Attilaplatz. Attilastr. ggü. 176 (0-24 Uhr),12105,Deutschland,13.3759973597359,52.4559113902088,1,1,"0,5",1,1,0,0,1,0
Wall_120512,Hranitzkistr.   (0-24 Uhr),12277,Deutschland,13.3710977471902,52.4225198402077,1,1,"0,5",1,1,0,0,1,0
Wall_120737,Leipziger Straße Spittelmarkt   (0-24 Uhr),10117,Deutschland,13.4007839020002,52.5116668951405,1,1,"0,5",1,1,0,0,1,0
Wall_120738,Hermannplatz 9 (0-24 Uhr),10967,Deutschland,13.4252979899,52.4876315049,1,1,"0,5",1,1,0,0,1,0
Wall_120739,Antonplatz. Berliner Allee 34 (0-24 Uhr),13088,Deutschland,13.4512367147914,52.5481660046952,1,1,"0,5",1,1,0,0,1,0
Wall_120740,S-Bhf. Frohnau. Welfenallee 1-5 (0-24 Uhr),13465,Deutschland,13.2890079265,52.6319858039,1,1,"0,5",1,1,0,0,1,0
Wall_120741,Rudower Chaussee 1-3 (0-24 Uhr),12489,Deutschland,13.53926,52.43443,1,1,"0,5",1,1,0,0,1,0
Wall_120742,Neuendorfer Str. 2 (0-24 Uhr),13585,Deutschland,13.2056353123,52.5414339921,1,1,"0,5",1,1,0,0,1,0
Wall_120744,Hohenzollernplatz. Hohenzollerndamm 199 (0-24 Uhr),10717,Deutschland,13.3250563841,52.494013819,1,1,"0,5",1,1,0,0,1,0
Wall_120745,S-Bhf. Biesdorf. Wuhlgartenweg   (0-24 Uhr),12683,Deutschland,13.5549178147,52.5134202058,1,1,"0,5",1,1,0,0,1,0
Wall_120746,Innsbrucker Platz   (0-24 Uhr),10825,Deutschland,13.3434712846,52.4786755758,1,1,"0,5",1,1,0,0,1,0
Wall_120747,Wernsdorfer Str. ggü. 1 (0-24 Uhr),12527,Deutschland,13.6493298625,52.3758170027,1,1,"0,5",1,1,0,0,1,0
Wall_120748,Winterfeldtplatz. Hohenstaufenstr. 1 (0-24 Uhr),10781,Deutschland,13.3536221927,52.4948779984,1,1,"0,5",1,1,0,0,1,0
Wall_120749,George-Grosz-Platz. Kurfürstendamm 50 (0-24 Uhr),10707,Deutschland,13.31733472,52.5014806902,1,1,"0,5",1,1,0,0,1,0
Wall_120750,Waldstr. ggü. 89 (0-24 Uhr),13156,Deutschland,13.4002351085133,52.5806731668297,1,1,"0,5",1,1,0,0,1,0
Wall_120751,Fontanestr.   (0-24 Uhr),14193,Deutschland,13.263703,52.487504,1,1,"0,5",1,1,0,0,1,0
Wall_120752,S+U-Bhf. Wuhletal. Altentreptower Str.   (0-24 Uhr),12621,Deutschland,13.5748868504834,52.5129007399651,1,1,"0,5",1,1,0,0,1,0
Wall_120753,U-Bhf. Kienberg. Neue Grottkauer Str.   (0-24 Uhr),12619,Deutschland,13.591577839657,52.5294186207121,1,1,"0,5",1,1,0,0,1,0
Wall_120759,Quedlinburger Str. hinter 1 (0-24 Uhr),12627,Deutschland,13.6047018253,52.5393854731,1,1,"0,5",1,1,0,0,1,0
Wall_120760,Hellersdorfer Str. 227 (0-24 Uhr),12627,Deutschland,13.6010719319,52.5358189594,1,1,"0,5",1,1,0,0,1,0
Wall_120761,Roedernstr.   (0-24 Uhr),12623,Deutschland,13.6011724568,52.4825517916,1,1,"0,5",1,1,0,0,1,0
Wall_120762,Elsterwerdaer Platz 1-3 (0-24 Uhr),12683,Deutschland,13.5609083175659,52.5059394836426,1,1,"0,5",1,1,0,0,1,1
Wall_120763,Helene-Weigel-Platz 4 (0-24 Uhr),12681,Deutschland,13.5380301295883,52.5279683889736,1,1,"0,5",1,1,0,0,1,0
Wall_120764,Debenzer Str. ggü. 36 (0-24 Uhr),12683,Deutschland,13.54735,52.500953,1,1,"0,5",1,1,0,0,1,1
Wall_120941,Rathaus Spandau. Altstädter Ring   (0-24 Uhr),13597,Deutschland,13.2004290600801,52.5354700822998,1,1,"0,5",1,1,0,0,1,0
Wall_120942,Imchenplatz. Imchenallee   (0-24 Uhr),14089,Deutschland,13.1489187460324,52.4525249986595,1,1,"0,5",1,1,0,0,1,0
Wall_120943,Metzer Platz ggü. 118 (0-24 Uhr),13595,Deutschland,13.1970124316781,52.5244093736923,1,1,"0,5",1,1,0,0,1,1
Wall_120944,Moritzstr.   (0-24 Uhr),13597,Deutschland,13.2011111111111,52.5383333333333,1,1,"0,5",1,1,0,0,1,1
Wall_121087,Wiltbergstr. 19 (0-24 Uhr),13125,Deutschland,13.494606453114,52.6356555785213,1,1,"0,5",1,1,0,0,1,0
Wall_121088,Breite Str. 35 (0-24 Uhr),13187,Deutschland,13.4073465278231,52.5702539545699,1,1,"0,5",1,1,0,0,1,1
Wall_121089,Berliner Allee ggü. 160 (0-24 Uhr),13086,Deutschland,13.4662555638586,52.5526148501705,1,1,"0,5",1,1,0,0,1,1
Wall_121090,Schönhauser Allee hinter 137 (0-24 Uhr),10437,Deutschland,13.411940574646,52.5430526733398,1,1,"0,5",1,1,0,0,1,1
Wall_121091,Wichertstr. 21 (0-24 Uhr),10439,Deutschland,13.42089017,52.54864128,1,1,"0,5",1,1,0,0,1,1
Wall_121092,Wichertstr. 43 (0-24 Uhr),10439,Deutschland,13.42732495,52.5458669801,1,1,"0,5",1,1,0,0,1,1
Wall_121093,Helmholtzplatz. Raumerstr. ggü. 9 (0-24 Uhr),10437,Deutschland,13.4186597605807,52.5428997393468,1,1,"0,5",1,1,0,0,1,1
Wall_121094,Am Falkplatz ggü. 5 (0-24 Uhr),10437,Deutschland,13.4054260825,52.5467650349,1,1,"0,5",1,1,0,0,1,1
Wall_121095,Arnswalder Platz. Bötzowstr. ggü. 51 (0-24 Uhr),10407,Deutschland,13.4371079873968,52.5335952903103,1,1,"0,5",1,1,0,0,1,1
Wall_121141,Am Weißen See. Parkstr. ggü. 80 (0-24 Uhr),13086,Deutschland,13.4587438498199,52.5555743891318,1,1,"0,5",1,1,0,0,1,1
Wall_121168,Schillerpromenade 37 (0-24 Uhr),12049,Deutschland,13.4219992471315,52.4775845145735,1,1,"0,5",1,1,0,0,1,1
Wall_121169,Sonnenallee 262 (0-24 Uhr),12057,Deutschland,13.4643174809262,52.4703125033872,1,1,"0,5",1,1,0,0,1,1
Wall_121170,Boddinplatz. Mainzer Str.   (0-24 Uhr),12053,Deutschland,13.4284121007425,52.4799133489629,1,1,"0,5",1,1,0,0,1,1
Wall_121238,Seestr. 94 (0-24 Uhr),13353,Deutschland,13.3515952183918,52.5503828539617,1,1,"0,5",1,1,0,0,1,0
Wall_121945,Savignyplatz 1 (0-24 Uhr),10623,Deutschland,13.322725,52.505252,1,1,"0,5",1,1,0,0,1,0
Wall_121946,Schönefelder Chaussee 100 (0-24 Uhr),12524,Deutschland,13.5275184661,52.4109872979,1,1,"0,5",1,1,0,0,1,0
Wall_121947,Briesingstr. ggü. 1 (0-24 Uhr),12307,Deutschland,13.3984986623649,52.3865178510777,1,1,"0,5",1,1,0,0,1,1
Wall_121948,Kurt-Schumacher-Damm   (0-24 Uhr),13627,Deutschland,13.29402034,52.53625419,1,1,"0,5",1,1,0,0,1,0
Wall_121956,Bundesallee. Bundesplatz 6 (0-24 Uhr),10715,Deutschland,13.3282867070272,52.4790069600456,1,1,"0,5",1,1,0,0,1,0
Wall_122395,Park am Weinbergsweg (0-24 Uhr),10119,Deutschland,13.4030886906136,52.5319477065682,1,1,"0,5",1,1,0,0,1,1
Wall_122523,Am Treptower Park ggü. 31-32 (0-24 Uhr),12435,Deutschland,13.464374587928,52.4874667583911,1,1,"0,5",1,1,0,0,1,0
Wall_122524,S-Bhf. Friedrichshagen. Dahlwitzer Landstr.   (0-24 Uhr),12587,Deutschland,13.62535,52.457726,1,1,"0,5",1,1,0,0,1,1
Wall_122525,Comeniusplatz. Torellstr. ggü. 1 (0-24 Uhr),10243,Deutschland,13.4473361604833,52.5114461688103,1,1,"0,5",1,1,0,0,1,1
Wall_122526,Traveplatz. Weichselstr. ggü. 13-14 (0-24 Uhr),10247,Deutschland,13.4690242763962,52.511231535323,1,1,"0,5",1,1,0,0,1,0
